,Action,Adventure,Animation,Comedy,Crime,Drama,Family,History,Horror,Fantasy_Mystery,Romance,Science Fiction,Thriller,Other,ID
91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23508
92,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13687
93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28651
94,0,0,0,0,0,1,0,0,1,1,0,1,0,0,16925
95,0,1,0,0,0,0,0,0,0,1,0,0,1,0,19400
96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10895
97,0,0,0,1,0,1,1,0,0,1,0,1,0,0,13688
98,1,0,0,0,1,0,0,0,0,0,0,0,1,0,29979
99,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24789
100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18576
101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27858
102,0,0,0,1,0,1,0,0,0,0,1,0,0,0,25560
103,0,1,0,1,0,0,0,0,0,1,0,0,0,0,26235
104,0,0,0,1,0,1,0,0,0,0,1,0,0,0,21367
105,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13917
106,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12775
107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12805
108,0,0,0,1,0,0,0,0,1,0,0,0,0,0,28498
109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25774
110,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13665
111,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22726
112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16229
113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24798
114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29436
115,0,0,0,1,0,1,1,0,0,0,1,0,0,0,26990
116,0,0,0,1,0,0,1,0,0,0,0,0,0,0,29228
117,0,0,0,0,1,1,0,0,0,0,0,0,0,0,28757
118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20540
119,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11004
120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24560
121,0,0,0,1,0,0,1,0,0,1,0,0,0,0,10588
122,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15982
123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26551
124,0,0,0,1,0,0,0,0,0,1,0,1,0,0,10981
125,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15050
126,0,1,0,0,0,0,0,0,0,0,0,1,0,0,26158
127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26763
128,1,0,0,0,1,1,0,0,0,0,0,0,1,0,14607
129,0,0,0,0,0,0,0,0,0,1,1,0,1,0,11771
130,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27916
131,0,0,0,1,0,1,0,0,0,0,1,0,0,0,16771
132,0,0,0,0,0,0,0,0,1,1,0,0,0,0,21506
133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11063
134,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14752
135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23190
136,0,0,0,0,0,1,0,0,0,0,1,0,0,0,29568
137,0,0,0,1,0,0,0,0,1,0,0,0,0,0,17141
138,0,0,0,0,0,1,0,0,0,1,0,0,0,0,24019
139,1,0,0,0,1,1,0,0,0,1,0,0,1,0,13197
140,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17059
141,0,0,0,0,0,1,0,0,1,0,0,0,1,0,15843
142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13258
143,1,1,0,1,1,0,1,0,0,0,0,0,0,0,26258
144,0,0,0,1,0,0,0,0,1,0,0,1,0,0,28650
145,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29512
146,1,1,0,1,0,0,0,0,0,0,0,0,1,0,10159
147,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11431
148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20163
149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23990
150,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24271
151,1,0,0,1,0,1,0,0,0,0,0,0,0,0,15836
152,0,1,0,1,0,0,0,0,0,1,0,0,0,0,11469
153,0,0,0,0,0,0,0,0,1,1,0,1,1,0,29324
154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29204
155,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21800
156,1,1,0,0,1,1,0,0,0,1,1,0,1,0,22160
157,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26334
158,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18228
159,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12790
160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12722
161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29930
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17969
163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11009
164,1,0,0,0,0,0,0,0,0,1,0,0,1,0,22689
165,0,0,0,0,0,1,0,0,0,0,1,0,0,0,29291
166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,29734
167,1,0,0,1,1,0,0,0,0,0,0,0,1,0,18002
168,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18044
169,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24890
170,0,1,1,1,0,0,1,0,0,0,0,0,0,0,10112
171,0,0,0,1,0,0,0,0,1,0,0,0,0,0,21509
172,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10123
173,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20381
174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15373
175,1,0,0,0,0,0,0,0,0,0,0,1,0,0,29890
176,0,0,0,1,0,1,0,0,0,0,1,0,0,0,26815
177,1,0,0,1,0,1,0,0,0,0,0,0,1,0,19326
178,1,0,0,0,1,1,0,0,0,0,0,0,1,0,15156
179,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14130
180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27468
181,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11549
182,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13180
183,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10649
184,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11834
185,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16232
186,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28585
187,1,1,0,0,0,0,0,0,0,0,0,1,0,0,14161
188,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19222
189,1,0,0,0,0,1,0,0,0,0,0,0,1,0,17902
190,1,0,1,1,1,1,0,0,0,0,0,0,0,0,27716
191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22471
192,1,1,0,0,0,0,1,0,0,1,0,0,0,0,10196
193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16666
194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11183
195,0,0,0,0,1,1,0,0,0,0,0,0,0,0,28321
196,1,1,0,0,0,1,0,0,0,0,0,0,1,0,27932
197,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27119
198,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10608
199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19833
200,0,0,0,1,0,1,0,0,0,0,0,0,0,0,21549
201,0,0,0,1,0,1,0,0,0,0,1,0,0,0,21753
202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14648
203,0,0,0,0,0,1,0,0,0,0,1,0,0,0,21828
204,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10696
205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24490
206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10291
207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17703
208,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10495
209,0,1,0,1,0,0,1,0,0,0,0,0,0,0,26264
210,0,0,0,1,0,0,0,0,1,0,0,0,1,0,26521
211,0,0,0,0,0,1,0,1,0,0,0,0,0,0,28089
212,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13664
213,0,0,0,0,1,1,0,0,0,0,0,0,1,0,11892
214,0,0,0,0,1,1,0,0,0,0,0,0,1,0,29735
215,1,0,0,0,0,1,0,0,0,0,1,0,0,1,23615
216,0,0,0,0,1,0,0,0,0,0,0,0,1,1,29496
217,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23073
218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25450
219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28001
220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22406
221,0,0,0,0,0,0,0,0,0,1,0,0,1,1,25670
222,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27006
223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27897
224,0,0,0,0,0,1,0,0,0,0,1,0,0,0,24578
225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12759
226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22043
227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13141
228,0,0,0,1,0,0,0,0,1,0,0,0,0,0,23988
229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17102
230,0,1,1,0,0,0,1,0,0,1,0,1,0,0,12600
231,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15716
232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10614
233,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26207
234,0,1,0,1,0,0,0,0,0,0,0,0,0,1,28981
235,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28208
236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12765
237,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22894
238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29582
239,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17630
240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28655
241,0,0,0,1,0,1,0,0,0,0,0,0,0,0,21246
242,0,1,0,0,0,1,0,0,0,1,0,0,1,0,17669
243,0,0,0,1,0,1,0,0,0,0,1,0,0,0,26393
244,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17433
245,1,0,0,1,0,0,0,0,0,1,1,1,0,0,20693
246,1,1,0,1,0,0,0,0,0,0,1,0,0,0,15417
247,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10407
248,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24960
249,1,1,0,0,1,0,0,0,0,0,0,0,1,0,19108
250,0,0,0,0,0,0,0,0,1,1,0,0,1,0,11587
251,0,1,0,0,0,0,1,0,0,1,0,0,0,0,20891
252,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16428
253,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16865
254,0,0,0,0,0,1,0,0,1,0,0,0,1,0,15418
255,0,1,1,1,0,0,1,0,0,1,0,0,0,0,13394
256,0,0,0,1,0,1,0,0,0,0,1,0,0,0,12308
257,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14472
258,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24200
259,0,0,0,0,0,0,0,0,1,0,0,1,0,0,28770
260,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25528
261,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16726
262,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21435
263,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11500
264,0,0,0,0,1,1,0,0,1,0,0,0,1,0,13429
265,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16321
266,1,0,0,0,1,1,0,0,0,0,0,0,0,0,18927
267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12161
268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17417
269,0,0,0,1,1,1,0,0,0,0,1,0,1,0,16161
270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29587
271,0,0,0,1,0,0,1,0,0,0,1,0,0,0,16263
272,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10027
273,0,0,0,1,0,0,0,0,0,0,1,0,0,0,17362
274,1,0,0,0,1,0,0,0,0,0,0,0,1,0,15092
275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18402
276,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13537
277,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19388
278,0,0,0,0,0,1,0,0,0,0,1,0,0,0,28209
279,1,1,0,1,0,0,0,0,0,0,0,0,0,0,10057
280,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16985
281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20763
282,1,0,0,0,0,1,0,0,0,0,0,0,1,0,26113
283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17762
284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18197
285,1,1,1,0,0,0,1,0,0,1,0,1,0,0,21683
286,0,0,0,0,1,1,0,0,0,0,0,0,1,0,14898
287,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17345
288,0,1,0,0,0,0,1,0,0,1,0,1,0,0,18887
289,0,0,0,0,0,1,0,0,1,0,0,0,1,0,29237
290,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26143
291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27456
292,0,0,0,0,0,1,0,0,1,0,0,0,1,0,15495
293,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29818
294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14832
295,1,0,0,0,0,0,0,0,1,0,0,1,0,0,24392
296,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11960
297,1,0,0,0,1,0,0,0,0,0,0,0,1,0,18262
298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20995
299,0,0,0,0,1,0,0,0,1,1,0,0,0,0,27316
300,0,0,0,0,0,1,0,0,1,1,0,0,0,0,16032
301,1,1,0,0,0,1,0,0,0,1,0,0,1,0,29225
302,1,1,0,0,0,1,0,0,0,0,0,0,0,1,19493
303,0,0,0,1,0,1,0,0,0,0,0,0,0,0,13490
304,0,0,0,0,1,0,0,0,0,1,0,1,1,0,17532
305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27534
306,0,1,0,1,0,0,0,0,0,0,1,1,0,1,28426
307,1,0,0,0,0,1,0,0,0,1,0,1,1,0,15055
308,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14089
309,0,0,0,0,1,1,0,0,0,0,0,0,0,0,29566
310,1,1,0,0,0,1,0,0,0,0,0,0,1,0,24595
311,0,1,0,1,0,0,1,0,0,1,0,0,0,0,20910
312,0,0,0,0,0,0,0,0,1,1,0,0,1,0,20388
313,0,0,0,0,1,1,0,0,1,0,0,0,1,0,10692
314,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27003
315,0,0,0,1,0,1,0,0,0,1,1,1,0,0,25755
316,0,1,1,0,0,0,1,0,0,0,0,0,0,0,15657
317,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11697
318,1,1,0,0,0,1,0,0,0,0,0,0,0,1,14676
319,1,1,0,0,0,1,0,1,0,0,0,0,0,0,11416
320,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28130
321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25667
322,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21789
323,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14034
324,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11832
325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20365
326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15765
327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13511
328,0,1,0,0,0,1,0,0,0,1,1,0,0,0,18239
329,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13102
330,0,0,0,1,0,1,0,0,0,0,0,0,0,0,27362
331,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15199
332,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16661
333,0,0,1,0,0,0,1,0,0,0,0,1,0,0,13060
334,1,1,0,0,1,1,0,0,0,1,0,0,1,0,19727
335,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10220
336,0,0,0,0,1,1,0,0,0,1,0,0,1,0,26203
337,1,0,0,1,0,0,0,0,0,0,0,0,0,0,21449
338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14189
339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29475
340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15802
341,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27765
342,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24624
343,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24505
344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28806
345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14170
346,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10024
347,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18762
348,0,0,0,0,1,0,0,0,1,1,0,0,1,0,29596
349,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27915
350,0,0,0,0,0,1,0,1,0,0,0,0,0,0,25274
351,0,1,0,0,0,1,0,0,1,0,0,0,0,0,22749
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23722
353,0,0,0,0,0,1,0,0,0,0,1,0,0,1,21355
354,0,0,0,1,0,1,0,0,0,0,1,0,0,0,19572
355,0,0,0,1,0,1,0,0,0,0,1,0,0,0,19361
356,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24358
357,1,1,0,1,1,0,0,0,0,0,0,0,0,0,15365
358,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25465
359,1,0,0,0,0,0,0,0,1,0,0,0,1,0,11059
360,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21705
361,1,0,0,0,0,0,0,0,1,1,0,0,1,0,12142
362,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13292
363,1,1,0,1,0,0,1,0,0,0,0,0,0,0,14361
364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10884
365,0,0,0,0,1,1,0,0,0,1,1,0,1,0,14755
366,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20244
367,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19625
368,0,0,0,1,0,0,1,0,0,1,0,1,0,0,11548
369,1,1,0,1,0,0,0,0,0,0,0,0,1,0,25043
370,1,1,0,0,0,1,0,0,0,0,0,0,0,0,28983
371,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10868
372,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25805
373,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14478
374,0,0,0,0,1,1,0,0,0,1,0,0,1,0,28120
375,1,0,0,0,1,0,0,0,0,0,0,0,1,0,20646
376,1,1,1,0,0,0,0,0,0,1,0,0,0,1,22679
377,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16923
378,0,1,0,1,1,0,0,0,0,0,0,0,0,0,19123
379,0,0,0,0,1,1,0,0,0,0,0,0,1,0,26610
380,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11857
381,1,1,0,1,0,1,1,0,0,0,0,1,0,0,21138
382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11056
383,0,0,1,1,0,0,0,0,0,0,0,0,0,0,26840
384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29877
385,0,0,0,1,0,0,0,0,1,1,0,0,1,0,17140
386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16294
387,0,0,0,0,0,1,0,0,1,0,0,0,1,0,12135
388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15914
389,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26907
390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18896
391,0,0,0,0,0,1,0,0,0,0,1,0,0,0,28571
392,1,0,0,0,1,0,0,0,0,0,0,0,1,0,14576
393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14274
394,0,0,1,0,0,0,1,0,0,1,1,0,0,0,16119
395,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26972
396,1,0,0,0,1,0,0,0,0,0,0,0,1,0,28653
397,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13406
398,0,0,0,1,0,0,0,0,0,0,1,0,0,0,22968
399,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13989
400,0,0,0,0,0,1,0,1,0,0,1,0,0,0,10533
401,1,0,0,0,0,1,0,0,1,1,0,1,1,0,10253
402,0,0,0,1,0,0,0,0,1,0,0,0,0,0,24948
403,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17836
404,1,1,0,0,0,0,1,0,0,1,0,1,0,0,12224
405,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10030
406,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29856
407,0,1,1,1,0,0,1,0,0,0,0,0,0,0,10315
408,1,0,0,0,0,1,0,0,0,0,0,0,1,0,13202
409,1,0,0,1,0,0,1,0,0,0,0,1,0,0,11504
410,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12540
411,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24278
412,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10368
413,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24094
414,0,0,0,0,1,1,0,0,0,0,0,0,1,0,12623
415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11939
416,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26762
417,0,0,0,0,0,0,0,0,1,1,0,0,1,0,16825
418,1,1,1,0,0,0,0,0,0,0,0,0,0,0,18861
419,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15961
